1	1	5078192	5104812
2	1	29938321	30043921
3	1	43484413	44014413
4	1	60425253	60659753
5	1	72728202	73695202
6	1	97652702	98181702
7	1	114623969	115110969
8	1	150003188	151139388
9	1	153804477	154406477
10	1	163611858	163844958
11	1	173448634	175027634
12	1	182668908	182763408
13	1	190787573	191437573
14	1	200708690	201056690
15	1	213835685	214107685
16	1	243220254	243484754
17	2	17480916	17880616
18	2	22235755	22737755
19	2	27520464	28102464
20	2	37153068	37365468
21	2	47794241	48184761
22	2	57692359	58273059
23	2	73157353	73777353
24	2	96686116	96835016
25	2	103980504	104097673
26	2	144231284	144462084
27	2	152007827	152411827
28	2	155978829	156072029
29	2	168495393	168640393
30	2	174067055	174298855
31	2	184539853	185192853
32	2	199763234	200445234
33	2	212180024	212545024
34	2	224370444	224604744
35	2	232686111	232942611
36	3	2390898	2534598
37	3	16663950	17077950
38	3	24124723	24218823
39	3	36792639	37228539
40	3	52182747	53140747
41	3	71384586	71633586
42	3	76143035	76431735
43	3	108033949	108294949
44	3	117654653	118124653
45	3	180813037	181318037
46	3	195103026	195207406
47	4	23322498	23446198
48	4	37214462	37250012
49	4	79265861	79323261
50	4	101781552	102465552
51	4	117868962	118262962
52	4	122078814	122630714
53	4	169279960	169725960
54	4	175874270	175976570
55	5	44642933	46390933
56	5	61188163	61548163
57	5	90766275	91125275
58	5	102121808	102696808
59	5	138337574	138612574
60	5	144214469	144656249
61	5	151761587	153436587
62	5	156255065	156507065
63	5	169728057	169900857
64	5	175244498	175260348
65	6	24987477	30837477
66	6	33206065	33829541
67	6	43114772	43443772
68	6	72218249	72462179
69	6	83268747	83699537
70	6	92319582	92573782
71	6	97870335	98294335
72	6	152850458	153024158
73	6	166556439	166609739
74	7	1788546	2305546
75	7	24436350	24805350
76	7	29698725	29882325
77	7	82756229	83088929
78	7	85945810	86964810
79	7	104814782	105422882
80	7	110313958	110466658
81	7	115300121	115567521
82	7	127643472	128126372
83	7	131848988	131942818
84	7	137355757	137408957
85	7	140579357	141107357
86	8	8229664	10612664
87	8	13654278	13815978
88	8	18517048	18572248
89	8	26261657	26421657
90	8	33434974	34962974
91	8	38157094	38459094
92	8	57450971	57529471
93	8	115831523	116122723
94	8	142207276	142329076
95	9	128638577	129147477
96	9	138009788	138182388
97	10	18248397	18679397
98	10	60288683	60624283
99	10	102469346	103204346
100	11	17911750	18051250
101	11	23222094	23399784
102	11	46254539	47215639
103	11	61629856	61781356
104	11	113415272	113578072
105	11	124684161	124784061
106	11	134376990	134438290
107	12	2164878	2331278
108	12	29752353	29970653
109	12	56900031	57099211
110	12	91849413	92001513
111	12	98968342	99297342
112	12	122945216	123448216
113	13	43665238	43960938
114	13	79244822	79619822
115	13	92670270	92908970
116	14	29531424	29831124
117	14	71915795	72000895
118	14	99192894	99284894
119	14	103383232	104071232
120	15	43293428	44015428
121	15	61520703	61617903
122	15	73634692	73776592
123	15	78419694	78765694
124	15	83972344	84890344
125	15	90859830	90898530
126	16	9707000	9903300
127	16	13563627	13711927
128	16	21525888	22652688
129	16	29912147	30427147
130	16	58504698	58669798
131	16	67196794	68394894
132	16	89319223	89751223
133	17	1333678	1417578
134	17	19008104	19450104
135	17	39954179	40325179
136	18	6871151	6915811
137	18	28575491	28916491
138	18	55464286	55796886
139	18	79826194	80148194
140	19	19238860	19689860
141	19	38042457	38203657
142	19	49564256	49679456
143	20	33926101	35203101
144	20	38621789	38881789
145	20	44964584	45140684
146	20	50984614	51044794
147	21	36228249	36295249
148	21	46178869	46543869
149	22	41828808	42293408
150	22	50621592	50700992
